Year,Season,AOD,CO,NO2,O3,LST
2018,Winter,-0.58010569,0.042393763,0.000157714,0.114824655,25.75068512
2018,Winter,-0.423731387,0.043738926,0.000288524,0.115303537,26.9777543
2018,Winter,-0.575714105,0.041944126,0.000126024,0.11446914,25.99336454
2018,Winter,-0.536395037,0.04293723,0.00022754,0.11541062,24.87225398
2018,Winter,-0.494677292,0.043220866,0.000229493,0.115167329,23.89470026
2018,Winter,-0.494120278,0.043026873,0.000228376,0.115059247,27.65110424
2018,Winter,-0.564028926,0.04226984,0.000154617,0.11485139,26.20186376
2018,Winter,-0.413044922,0.044032626,0.000250907,0.115233945,23.68278302
2018,Winter,-0.585145891,0.041391443,0.000119609,0.114458148,28.93627976
2018,Winter,-0.404703558,0.044586123,0.000280733,0.115314835,25.47040748
2018,Winter,-0.419522637,0.044208588,0.00027254,0.115152792,29.38062236
2018,Winter,-0.340593597,0.044875569,0.000316155,0.11541455,24.23650226
2018,Winter,-0.352812832,0.044660503,0.00031568,0.115307031,27.90745574
2018,Winter,-0.578821089,0.04224307,0.000138469,0.114747255,27.99632426
2018,Winter,-0.485723079,0.043270934,0.000195743,0.115066679,26.52999368
2018,Winter,-0.406355851,0.044301174,0.000263749,0.115465261,24.44500148
2018,Winter,-0.498130391,0.041796174,0.00015813,0.114881966,26.08223306
2018,Winter,-0.565348396,0.041118933,0.00022485,0.115245077,25.27558034
2018,Winter,-0.513309167,0.042924387,0.000217722,0.115560855,24.21257612
2018,Winter,-0.40939226,0.044696677,0.000284905,0.115358742,23.9698967
2018,Winter,-0.527858904,0.042540058,0.000241507,0.115344615,26.8239434
2018,Winter,-0.52094409,0.0429046,0.000189027,0.114919998,24.09978146
2018,Winter,-0.448613222,0.043192997,0.000249026,0.11522266,25.9181681
2018,Winter,-0.511975753,0.041631766,0.000151019,0.114832791,24.19890404
2018,Winter,-0.587268887,0.041827738,0.000119325,0.11443329,28.2082415
2018,Winter,-0.417068839,0.043731999,0.000239786,0.115095691,23.60758658
2018,Winter,-0.550639561,0.041797192,0.000237092,0.115330879,26.61544418
2018,Winter,-0.434844321,0.044210793,0.000240025,0.115228735,22.98892496
2018,Winter,-0.340318862,0.045055001,0.000327112,0.115407609,24.02458502
2018,Winter,-0.552105464,0.041782698,0.000139008,0.114740281,28.13646308
2018,Winter,-0.572946777,0.041921412,0.000122015,0.114399662,28.3278722
2018,Winter,-0.567310724,0.041294166,0.000129663,0.114547209,25.63105442
2018,Winter,-0.559376881,0.041908404,0.000149793,0.114786048,29.64722792
2018,Winter,-0.494417971,0.043321411,0.000229574,0.115163916,22.6881392
2018,Winter,-0.340593597,0.044875569,0.000316155,0.11541455,24.66375476
2018,Winter,-0.453094925,0.043189335,0.000225707,0.114961035,26.3966909
2018,Winter,-0.339859627,0.04487575,0.000276637,0.115392359,25.84638968
2018,Winter,-0.578646337,0.041476749,0.00012022,0.114438229,28.47142904
2018,Winter,-0.380543662,0.044182685,0.000337163,0.115336488,24.92352428
2018,Winter,-0.576478816,0.042104331,0.000152839,0.114838076,25.72334096
2018,Winter,-0.473322393,0.043277347,0.000217448,0.115079634,26.52315764
2018,Winter,-0.406659661,0.044465453,0.000269417,0.115273887,24.73211516
2018,Winter,-0.509976954,0.042811119,0.00023923,0.115336027,23.2179323
2018,Winter,-0.569247969,0.042334953,0.000144182,0.114805412,29.19604928
2018,Winter,-0.499443504,0.043469417,0.000245998,0.115326017,24.97479458
2018,Winter,-0.4269066,0.04462369,0.000285371,0.115374028,24.13737968
2018,Winter,-0.577008779,0.041343041,0.000118355,0.114492484,28.2253316
2018,Winter,-0.54487244,0.041945588,0.000207325,0.115451273,23.13589982
2018,Winter,-0.416514955,0.044172051,0.000271105,0.115458276,26.95382816
2018,Winter,-0.494417971,0.043321411,0.000229574,0.115163916,24.16472384
2018,Winter,-0.322963697,0.043683887,0.000287134,0.115445795,25.25849024
2018,Winter,-0.50340349,0.04283191,0.000196257,0.114988924,30.06080834
2018,Winter,-0.494138824,0.043144922,0.000229213,0.115218292,25.44989936
2018,Winter,-0.493392239,0.043103231,0.000200195,0.115057663,26.44112516
2018,Winter,-0.577710315,0.042705045,0.000168949,0.114817741,27.40842482
2018,Winter,-0.539462229,0.041725944,0.000240468,0.115317941,26.3112404
2018,Winter,-0.518028124,0.043393282,0.000231702,0.115467076,25.00213874
2018,Winter,-0.457078222,0.043397505,0.000230745,0.115051028,27.86302148
2018,Winter,-0.510140211,0.04238574,0.000232418,0.115253648,23.65885688
2018,Winter,-0.562970307,0.041422413,0.00023472,0.115357016,23.06070338
2018,Winter,-0.494944766,0.043142325,0.000228994,0.115180771,25.58662016
2018,Winter,-0.511432971,0.042841196,0.000237608,0.115340672,26.02754474
2018,Winter,-0.498130391,0.041796174,0.00015813,0.114881966,27.2341058
2018,Winter,-0.55961201,0.041778025,0.000135304,0.114628109,26.85128756
2018,Winter,-0.562413582,0.042020786,0.000147414,0.114764903,28.56029756
2018,Winter,-0.52473967,0.041451077,0.000115713,0.114444008,25.34735876
2018,Winter,-0.4280015,0.043388941,0.000224419,0.115046428,23.93229848
2018,Winter,-0.413105033,0.044339621,0.000266633,0.115296031,23.64176678
2018,Winter,-0.570858565,0.041491017,0.000130662,0.114589285,27.82200524
2018,Winter,-0.393953411,0.044693376,0.000294292,0.115286567,25.95576632
2018,Winter,-0.428989601,0.044379504,0.000280479,0.115339622,26.23604396
2018,Winter,-0.512181658,0.043094078,0.000237436,0.115348076,25.91133206
2018,Winter,-0.571445144,0.041521456,0.000122757,0.114439483,27.63743216
